"","pl_names","pl_effects","pl_pval","sample","support_indices","support_category"
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS38","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.027450236944233,0.976121689418455,8,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS39","(No Seeds, High Slopes, SMS (All))",2.08159879608652,0.316083341368095,9,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS39","(Trusted Seeds, High Slope, SMS (All))",2.89125818241042,0.0119914283352332,9,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS39","(Info Hubs, Slopes (All), SMS (All))",3.88266312831164,0.00990362520249729,9,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS39","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.543061541634239,0.523195472745207,9,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS310","(No Seeds, High Slopes, SMS (All))",3.33177236602288,0.150625207540377,10,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS310","(Trusted Seeds, High Slope, SMS (All))",3.35753245325441,0.0259090248746923,10,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS310","(Info Hubs, Slopes (All), SMS (All))",3.57027776152112,0.00111936626843058,10,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS310","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.721327138062139,0.371974741948504,10,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS311","(No Seeds, High Slopes, SMS (All))",1.49054834773212,0.302834832673029,11,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS311","(Trusted Seeds, High Slope, SMS (All))",2.46200028025601,0.0906494641439079,11,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS311","(Info Hubs, Slopes (All), SMS (All))",3.92218493592575,0.00535099311601767,11,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS311","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.866615979371506,0.24268530704375,11,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS312","(No Seeds, High Slopes, SMS (All))",4.12167439402568,0.112016343225879,12,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS312","(Trusted Seeds, High Slope, SMS (All))",3.87226185933065,0.00703632291820265,12,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS312","(Info Hubs, Slopes (All), SMS (All))",4.6600492327354,1.73519884721013e-05,12,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS312","(Trusted Info Hubs, Slopes (All), SMS (All))",-1.2492811657727,0.099489442621581,12,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS313","(No Seeds, High Slopes, SMS (All))",3.14146590993552,0.106934793038732,13,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS313","(Trusted Seeds, High Slope, SMS (All))",3.66248676083597,0.0062792110748417,13,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS313","(Info Hubs, Slopes (All), SMS (All))",4.71717657390617,0.00231990145302188,13,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS313","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.505015348497789,0.481342994938519,13,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS314","(No Seeds, High Slopes, SMS (All))",2.40928735915074,0.180923081427078,14,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS314","(Trusted Seeds, High Slope, SMS (All))",2.80258568386282,0.0263512188099083,14,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS314","(Info Hubs, Slopes (All), SMS (All))",4.56636779986294,5.35377264523332e-05,14,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS314","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.227910077400285,0.7873021028481,14,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS315","(No Seeds, High Slopes, SMS (All))",2.99573198914427,0.0447515133247271,15,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS315","(Trusted Seeds, High Slope, SMS (All))",3.99092002510614,0.00906269444202795,15,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS315","(Info Hubs, Slopes (All), SMS (All))",4.73155864599447,7.62691537083672e-05,15,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS315","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.36735346745863,0.628229091759607,15,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS316","(No Seeds, High Slopes, SMS (All))",1.69960809118378,0.267114339889487,16,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS316","(Trusted Seeds, High Slope, SMS (All))",3.9259233481968,0.00820386728254062,16,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS316","(Info Hubs, Slopes (All), SMS (All))",4.28331649277799,0.00207408434713221,16,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS316","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.57382059516441,0.406838361553597,16,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS317","(No Seeds, High Slopes, SMS (All))",2.83455845140446,0.216412164154195,17,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS317","(Trusted Seeds, High Slope, SMS (All))",3.26682632740183,0.04441899242619,17,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS317","(Info Hubs, Slopes (All), SMS (All))",4.03691128194105,0.000976157423552452,17,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS317","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.945943740480986,0.251785405407673,17,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS318","(No Seeds, High Slopes, SMS (All))",1.81458552619959,0.238734790487782,18,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS318","(Trusted Seeds, High Slope, SMS (All))",2.90046039674226,0.0390601585044856,18,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS318","(Info Hubs, Slopes (All), SMS (All))",4.84169232606865,6.43660049181091e-05,18,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS318","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.566320904009384,0.485732612228117,18,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS319","(No Seeds, High Slopes, SMS (All))",3.6361645367745,0.0488345184539813,19,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS319","(Trusted Seeds, High Slope, SMS (All))",4.08921954039895,0.00249576763161129,19,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS319","(Info Hubs, Slopes (All), SMS (All))",3.89917365940721,0.00549810094301773,19,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS319","(Trusted Info Hubs, Slopes (All), SMS (All))",0.0111023538090861,0.989916808651013,19,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS320","(No Seeds, High Slopes, SMS (All))",2.09643219129403,0.218256435099947,20,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS320","(Trusted Seeds, High Slope, SMS (All))",2.8232249977307,0.0291060722077305,20,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS320","(Info Hubs, Slopes (All), SMS (All))",3.96703067003088,0.00126831125627389,20,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS320","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.279781405891403,0.721379551664444,20,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS321","(No Seeds, High Slopes, SMS (All))",2.41032374768153,0.133925288133673,21,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS321","(Trusted Seeds, High Slope, SMS (All))",3.14820185114817,0.0571900295301933,21,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS321","(Info Hubs, Slopes (All), SMS (All))",3.96373917418332,0.00207385294210197,21,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS321","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.0696312842419972,0.936010521400972,21,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS322","(No Seeds, High Slopes, SMS (All))",1.63431356884297,0.226626446762321,22,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS322","(Trusted Seeds, High Slope, SMS (All))",2.81483305646254,0.044584672312802,22,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS322","(Info Hubs, Slopes (All), SMS (All))",4.91211061887617,0.00125435413758579,22,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS322","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.399804527514896,0.605474938767924,22,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS323","(No Seeds, High Slopes, SMS (All))",3.325741920215,0.154194784992127,23,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS323","(Trusted Seeds, High Slope, SMS (All))",2.69226681296894,0.0287007710280311,23,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS323","(Info Hubs, Slopes (All), SMS (All))",3.95682545914629,0.00156476352020444,23,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS323","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.353718338154449,0.653694119599181,23,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS324","(No Seeds, High Slopes, SMS (All))",2.92557743750483,0.0987627179574579,24,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS324","(Trusted Seeds, High Slope, SMS (All))",3.04446379046996,0.0632222902794766,24,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS324","(Info Hubs, Slopes (All), SMS (All))",5.02730629565349,0.000581447356737131,24,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS324","(Trusted Info Hubs, Slopes (All), SMS (All))",0.0778811703156974,0.921889941610606,24,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS325","(No Seeds, High Slopes, SMS (All))",3.46748561039742,0.103409970024187,25,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS325","(Trusted Seeds, High Slope, SMS (All))",3.45709241151363,0.00876918800102968,25,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS325","(Info Hubs, Slopes (All), SMS (All))",4.50213972471122,0.000625146633029994,25,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS325","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.0226604188116728,0.976810480919189,25,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS326","(No Seeds, High Slopes, SMS (All))",1.58114069853809,0.190354418709015,26,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS326","(Trusted Seeds, High Slope, SMS (All))",2.74347765640906,0.0111187238285558,26,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS326","(Info Hubs, Slopes (All), SMS (All))",4.70866029106867,3.64833726064621e-05,26,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS326","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.584836002979329,0.393259701681736,26,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS327","(No Seeds, High Slopes, SMS (All))",4.0449319542133,0.129064902233877,27,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS327","(Trusted Seeds, High Slope, SMS (All))",3.004148237682,0.0172120101225708,27,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS327","(Info Hubs, Slopes (All), SMS (All))",3.29220794985253,0.00290979409367053,27,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS327","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.973884821295387,0.203848638155522,27,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS328","(No Seeds, High Slopes, SMS (All))",2.90080906016462,0.0819019210755437,28,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS328","(Trusted Seeds, High Slope, SMS (All))",4.22897867443518,0.00213724080732415,28,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS328","(Info Hubs, Slopes (All), SMS (All))",3.91749861694827,0.00736440398545751,28,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS328","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.700649775530672,0.436847969386403,28,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS329","(No Seeds, High Slopes, SMS (All))",0.897554357894338,0.550033895155776,29,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS329","(Trusted Seeds, High Slope, SMS (All))",3.85260495974615,0.026893991252141,29,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS329","(Info Hubs, Slopes (All), SMS (All))",3.78641624160571,0.0012941046449344,29,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS329","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.488682561868843,0.546098379374263,29,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS330","(No Seeds, High Slopes, SMS (All))",2.86559842942472,0.192259588727903,30,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS330","(Trusted Seeds, High Slope, SMS (All))",5.24046505495427,0.000368521619473916,30,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS330","(Info Hubs, Slopes (All), SMS (All))",3.68239864153512,0.00118005950214261,30,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS330","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.839726884973586,0.270778659122867,30,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS331","(No Seeds, High Slopes, SMS (All))",2.05049913363028,0.178582913969956,31,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS331","(Trusted Seeds, High Slope, SMS (All))",3.81191470645238,0.00450738116242109,31,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS331","(Info Hubs, Slopes (All), SMS (All))",4.02188698654202,0.0069143777986285,31,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS331","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.999821596747937,0.158847468210861,31,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS332","(No Seeds, High Slopes, SMS (All))",2.73969291075065,0.0700705918887252,32,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS332","(Trusted Seeds, High Slope, SMS (All))",3.37541445416989,0.0207182422808349,32,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS332","(Info Hubs, Slopes (All), SMS (All))",4.02043803411051,0.00962769208734476,32,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS332","(Trusted Info Hubs, Slopes (All), SMS (All))",0.271619632982232,0.746041710567429,32,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS333","(No Seeds, High Slopes, SMS (All))",2.1745680109146,0.25342558896838,33,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS333","(Trusted Seeds, High Slope, SMS (All))",2.92246304686231,0.0260826843444287,33,"1 16 49 64",1
